ValueG,DIFF_BRG,ValueR,DEFECT_RBG,PKR.B,MinG,DEFECT_SIZE_Y,PKG.B,MaxB,BlackRatio,ValueB,MeanG.B,G,PKB.R,DEFECT_LENGTH,PKR,CBlobCnt,DEFECT_SIZE_X,DEFECT_AREAR3,CTB,DEFECT_TYPE
-28.47944,-37,-21.9261,151,2.117176,69.0353,9.178,-0.4611125,114.5611,1.348393,-25.03591,2.166007,89.66468,0.2994403,10.323,46.68309,-0.4212135,4.725,3.758,85.87329,G
-89.42163,74,-93.0177,223,1.747689,85.04318,5.522,-0.4688702,253.9299,0.5128627,-97.91437,1.779209,173.007,0.1816766,7.56,92.20332,0.7858498,5.164,3.949,157.1078,NG
-26.20835,-47,-19.70287,165,2.449421,71.76641,2.815,0.4629149,68.30659,1.768064,-17.87369,2.200098,91.42296,-0.8734628,4.125,53.19251,-0.2412801,3.016,2.14,62.28247,NG
-25.99659,-54,-18.5276,108,1.861722,54.38722,5.6,-0.1433121,139.3116,2.052431,-30.88774,1.640622,78.81838,0.2548029,6.32,39.90344,0.1191925,2.929,2.393,93.86756,G
-59.69522,-22,-51.64956,130,2.792504,80.70434,3.77,-0.5135033,179.2035,1.525903,-59.4473,1.628849,130.5151,-0.7521467,5.469,89.69057,3.898506,3.961,2.115,128.9536,G
-18.20332,-27,-28.13985,101,2.5319,52.77963,5.813,0.2261116,82.31226,2.043815,-17.74001,2.031703,68.79044,-0.6830693,6.629,56.52906,-0.6525685,3.188,3.568,66.88061,G
-34.86444,-40,-21.60058,134,2.99826,59.06323,4.891,0.7699773,93.69814,1.683231,-16.24702,2.15279,86.07249,-0.7658333,5.846,62.84299,1.513387,3.201,2.666,49.23438,NG
-51.28163,29,-52.54687,156,2.085877,74.87021,3.636,0.04344395,184.867,1.342025,-53.03076,2.080679,128.1833,-0.4410699,4.545,120.5079,16.20274,2.727,2.272,132.7522,NG
-37.29783,44,-30.4715,169,1.769815,62.62008,7.629,-0.365613,102.6946,1.318092,-32.56197,1.969305,84.47773,0.0546156,9.141,35.02978,5.001991,5.036,3.636,79.42448,NG
-31.53198,-37,-36.71223,123,3.15919,55.89114,4.995,0.6117795,56.01508,1.492274,-15.48816,2.783026,78.32692,-1.258227,7.329,80.29917,0.2059339,5.364,3.831,48.56636,NG
-33.91868,-30,-27.48061,131,2.34667,62.49802,6.326,0.01838094,134.3602,1.940675,-39.05359,1.258208,83.98999,0.626354,8.221,33.23636,1.01938,5.25,3.313,95.61901,G
-47.23758,-32,-40.03546,151,2.247252,86.73923,4.331,0.1365177,132.8346,0.9469858,-34.4236,1.799567,121.4132,-0.9849364,5.68,75.91508,6.14093,3.675,2.754,93.28881,G
-20.07628,-39,-16.65753,138,2.664899,48.80548,20.126,-0.121299,38.88437,2.041326,-9.975367,3.149873,68.29927,-0.6753727,23.191,37.92089,-0.4419744,11.524,2.502,36.05694,G
-15.21698,-49,-16.13625,141,2.055163,42.47913,5.303,-0.9441189,75.01099,1.353554,-21.97438,1.37946,59.36701,0.4028102,8.891,35.46476,-0.09036016,7.136,3.695,65.48982,G
-33.5326,-31,-42.89402,139,4.045795,85.36342,3.446,0.4434426,124.0572,1.536541,-10.94494,2.334173,110.7002,-0.8346408,7.851,115.2373,0.487194,7.054,3.017,72.74936,NG
-21.85745,-22,-12.85628,119,2.631477,55.52429,11.659,-0.1961404,56.67723,1.561895,-16.17826,1.92946,58.93489,-0.04762927,12.219,33.82495,-0.4597724,3.657,2.667,50.68628,G
-59.13633,-31,-56.98924,149,1.821018,76.97243,3.726,0.3957913,184.0409,1.404423,-60.45368,1.510021,129.9225,0.06119649,4.647,103.2031,1.018385,2.777,2.031,133.5012,NG
-37.92023,-39,-29.10305,166,2.318896,80.45184,3.742,-0.06919723,123.486,2.010588,-43.06822,1.852121,96.23653,-0.2386273,4.429,71.43969,-0.1053148,2.369,2.114,106.6974,G
-19.57969,-45,-16.05513,129,2.442719,55.63637,5.09,-0.1345872,74.44472,1.692333,-23.52661,1.479223,63.12699,0.1806557,5.715,39.3715,0.06210263,2.598,2.125,66.14188,NG
-19.43002,-56,-17.1906,122,2.164636,56.16838,2.963,-0.3817194,84.57755,2.036704,-20.67717,2.10059,71.98744,-0.01045442,4.27,41.36948,-0.595682,3.075,2.416,67.02768,G
-62.03972,27,-66.06514,181,2.251116,89.85974,8.13,0.3130513,207.7818,0.4377822,-68.71483,1.906037,141.9967,-0.676598,8.708,89.28085,6.369368,3.12,2.296,136.1214,NG
-25.54673,-19,-8.404107,135,1.920493,53.96376,5.305,0.03782576,96.85868,1.522793,-37.29624,1.694035,69.35203,1.1018,6.47,28.26616,0.01817473,3.703,2.877,84.15245,G
-17.81417,-31,-18.49988,121,2.000885,50.11629,11.55,-0.3833345,77.25219,1.471134,-19.32479,1.450509,60.6925,-0.232535,11.992,29.5063,0.2307101,3.225,5.337,64.85917,G
-23.66675,32,-24.67508,75,2.28716,25.32054,4.528,0.01927511,48.59639,0.6924519,-19.298,2.195594,40.45974,-0.9986496,6.521,47.64896,-0.2518256,4.692,3.849,31.06347,NG
-32.76187,-34,-28.85376,160,1.942769,49.80657,4.875,-0.0695162,107.9392,2.158034,-34.43161,1.504626,77.91431,-0.2112165,7.201,67.01312,0.9988787,5.3,3.898,83.32687,G
-26.63301,-32,-13.92023,146,1.509857,49.58458,4.167,-0.5567168,108.3448,1.475909,-30.3922,1.586772,67.78252,0.780316,5.513,29.08574,6.430847,3.609,2.268,77.72408,G
-51.5213,-43,-58.19121,149,3.517709,89.54041,3.443,0.007673382,83.67454,1.671071,-22.08258,2.500495,132.2608,-1.614417,4.458,137.341,0.2086563,2.833,2.182,73.29114,NG
-21.1247,-28,-15.60545,126,2.825656,56.35724,5.367,0.2480113,112.4852,1.839488,-16.97243,2.485157,90.62812,-0.92375,7.799,46.91061,-0.2707538,5.658,3.837,78.04847,G
-61.95407,-24,-48.18474,128,2.520286,84.9934,4.528,0.7766228,116.9708,1.822718,-43.94623,1.883703,133.4646,-0.1168519,6.474,90.58953,-0.2850553,4.627,2.142,95.58354,NG
-38.83186,-27,-25.9131,157,1.868243,86.3085,4.822,-0.1522912,118.4025,1.476648,-33.07195,1.622002,102.1583,0.9317472,6.875,33.99532,-0.3478524,4.9,2.818,91.53321,G
-16.71985,-35,-15.20807,112,2.633745,67.33982,6.724,0.284791,113.7471,1.906641,-17.79473,2.406091,98.6696,-0.9718312,8.312,63.29023,-0.6711859,4.887,4.125,84.53379,G
-13.58747,-31,-8.500341,156,2.08672,37.00867,8.702,-0.5835872,76.30771,2.013842,-18.89891,1.476698,56.85799,0.2637173,15.658,29.96197,0.7002666,13.017,6.693,64.18698,G
-38.30682,-42,-17.31333,141,2.645051,73.90689,4.937,0.4901732,78.17737,2.213652,-25.41189,2.152631,83.94419,-0.8226465,6.802,42.37068,-0.08170394,4.679,3.021,58.37622,NG
-14.67298,-17,-6.983685,103,1.713517,43.0754,5.25,-0.687392,67.31613,1.911104,-21.90936,1.236346,51.72424,0.9454836,7.077,19.19999,1.219201,4.746,3.036,63.53587,G
-17.43861,-33,-17.32033,139,2.486307,46.243,3.309,-0.1557339,67.58755,1.98772,-21.47153,1.738749,58.78324,-0.385682,5.626,57.78886,0.1007706,4.55,2.078,59.45014,G
-40.84514,-41,-34.81573,146,3.064615,90.08169,3.57,1.094699,129.9336,1.405395,-16.34434,2.30551,123.1452,-0.6791504,5.913,102.4169,1.430696,4.713,2.799,85.17852,NG
-46.96026508,-52,-62.97948498,157,3.267054544,94.89307714,3.736,0.478199274,96.56798264,2.191726154,-23.20124768,2.904739572,140.2376043,-1.192081967,4.624,150.8945241,0.032704055,2.726,2.198,87.91827632,NG
-38.72313,-37,-32.40997,146,2.406597,78.30205,5.178,-0.5834361,190.1713,1.875613,-44.33286,1.441414,124.5005,0.07256189,5.838,75.99648,2.136483,2.697,2.537,136.7469,G
-42.04495,-55,-51.66886,166,3.232424,85.94886,3.36,-0.2286557,163.4785,1.984665,-16.58019,2.287207,122.8784,-1.087708,4.465,135.9043,0.5445868,2.94,2.35,97.17464,NG
-39.26148,-39,-32.22005,113,2.180579,73.82164,4.859,-0.000696663,89.30202,1.712187,-30.30137,2.279689,92.76591,-1.154143,5.588,72.92267,0.2379037,2.759,2.693,67.45442,G
-42.96666,-31,-35.96778,156,2.012021,78.22912,4.962,-0.2516545,189.0979,1.690763,-40.78752,1.813502,143.8139,-0.8192827,6.859,80.7063,3.160194,4.735,2.098,135.3826,G
-46.9543,-39,-25.15823,163,2.51717,72.16448,5.674,0.8082908,78.73526,1.926884,-26.3531,2.605266,100.771,-0.5060964,7.838,66.74449,1.225051,5.406,4.099,63.05013,G
-44.1712,-37,-21.63004,121,1.625535,81.30253,57.93,-0.4901968,211.3431,2.243772,-43.70494,2.096644,129.4892,0.7751308,60.091,51.17373,89.8824,15.971,10.327,131.2079,NG
-37.46135,-34,-35.77686,155,2.930051,66.62803,4.98,0.8818829,60.8028,1.96874,-18.01142,2.733725,92.16206,-1.175537,6.024,78.61609,-0.05520669,3.39,3.653,55.14666,NG
-33.84361,-24,-38.6856,117,3.379651,71.05067,3.818,0.6535922,94.51957,1.048242,-22.22802,2.530852,87.22696,-0.7015821,6.415,103.829,4.566368,5.155,2.112,61.20123,G
26.26418,-43,16.11102,137,2.209995,14.76283,56.712,-0.6813179,128.9096,1.368907,25.9547,1.020315,27.0145,0.1061476,115.21,12.07907,2.639787,100.285,86.931,75.30929,G
-36.52848,-54,-23.61228,201,2.014612,79.08956,4.851,-0.8236992,190.5104,1.73282,-52.81991,1.253087,114.7832,-0.06084183,6.83,65.12953,-0.3452905,4.809,2.332,144.6931,G
-20.57444,-22,-10.94715,124,2.653099,54.61994,13.3,-0.03797669,59.87773,2.279476,-16.07427,1.669216,60.59955,-0.4541781,14.4,32.81588,0.1301614,5.519,3.246,56.03393,G
-28.43039,-26,-20.88314,148,2.91328,57.05707,4.24,0.6055753,57.25009,1.808733,-17.9112,1.845324,76.87353,-0.6258987,6.112,52.87068,-0.6919014,4.402,2.822,51.40605,G
-55.51902,-36,-67.37755,169,2.630337,75.10187,3.758,-0.3600333,92.62889,2.067408,-33.4057,2.445851,111.7748,-0.6699216,6.367,64.13923,-0.5882638,5.139,2.593,76.63412,NG
-39.76504,-39,-30.69293,140,2.145986,93.21734,3.365,0.43257,110.8245,1.741362,-31.64841,2.229664,121.0327,-0.384848,5.79,71.97577,-0.642036,4.712,2.118,91.47635,G
-28.69167,-25,-21.36877,140,2.327679,55.18006,3.948,-0.6136086,81.47932,2.112685,-27.23079,1.264205,70.54188,-0.414866,5.267,52.03546,1.002809,3.486,2.076,68.99562,G
-28.19074,-20,-14.13754,127,1.975419,70.28958,7.098,-0.4546306,133.6388,2.080002,-38.97774,1.455456,105.759,-0.02267483,10.355,53.6262,-0.2347879,7.539,3.171,125.6203,G
-5.96924,-35,-12.03864,153,1.851784,44.6182,9.669,0.03384436,213.9671,1.965952,-15.42382,1.928513,87.66067,-0.2542232,14.517,52.35395,3.038321,10.828,6.344,122.2795,G
-20.63502,-40,-22.16617,113,3.377714,55.08382,3.675,0.1467114,46.53057,1.79698,-11.16241,2.212863,69.09576,-0.7937144,4.594,64.05411,0.1760533,2.756,2.362,41.29611,G
-20.19701,-52,-27.23019,106,2.419112,69.80808,6.519,-0.1286322,161.4108,2.043694,-32.4462,1.591839,104.0142,-0.6763629,7.061,79.90045,-0.2264364,2.713,2.879,124.7781,G
-29.62536,-46,-25.80739,133,2.383875,59.3671,5.314,0.02065679,109.3948,2.089223,-31.9441,1.96583,76.97845,-0.1695128,6.03,48.82684,-0.3119233,2.85,3.035,89.44406,G
-43.56243,-46,-69.29155,163,3.732929,88.83888,3.211,0.06146418,87.91888,1.853035,-24.36654,2.839438,120.6897,-0.8866699,5.746,159.0279,-0.6158126,4.765,2.277,78.10518,NG
-32.61946,27,-33.23401,53,2.541198,32.73069,3.344,-0.04593657,64.47093,1.273296,-23.27071,2.238357,55.44961,-1.391874,4.73,67.89619,0.1820354,3.344,2.277,39.8493,NG
-24.19857,-26,-16.90721,138,2.376701,68.01517,6.26,0.9462764,56.6084,1.429512,-14.93261,2.18046,78.29232,-0.5907118,9.321,48.37705,0.001408033,6.906,5.025,52.38899,G
-13.40353,-35,-11.5235,142,1.93842,44.38447,4.746,-0.5991866,96.75645,1.835514,-23.39384,1.4824,61.44089,0.0291202,6.667,37.37764,-0.04776589,4.683,2.48,75.31428,G
5.129407,-24,1.582074,107,2.062088,23.69819,10.658,0.1298135,125.5182,1.387265,-2.308949,1.699528,48.08555,-0.2766133,13.747,36.36058,2.712354,8.682,5.767,77.47273,G
-39.76299,-29,-17.06149,145,2.418617,97.66923,3.078,-0.01068154,87.81993,1.522792,-32.71894,2.353603,106.405,-0.0155825,4.276,42.67191,-0.4311669,2.969,2.07,82.97865,G
-21.23545,-44,-19.99207,125,2.689877,33.46006,4.648,0.1827135,94.54285,2.266377,-18.0465,1.598756,61.0493,-0.9630585,30.144,33.26081,5.126586,29.784,4.466,57.99448,G
-17.19612,-37,-16.50575,122,3.038551,35.87131,5.181,-0.2023682,122.3524,1.978862,-21.60213,1.470342,60.24531,-1.11733,7.16,55.89781,0.2348013,4.943,2.459,75.3934,G
-26.28018,-28,-23.83627,122,1.743044,47.19523,5.473,0.1780111,95.09519,2.183591,-28.65811,1.873203,66.78042,-0.4282464,7.54,48.11599,0.2212144,5.186,2.45,76.45855,G
-15.35064,-29,-15.44272,101,1.684556,50.07536,4.86,-0.7137289,116.7532,2.25889,-21.21765,1.544682,78.11188,-0.3406497,6.831,62.37707,-0.09985273,4.8,2.448,108.8292,G
-24.57686,-70,-17.2615,143,1.712788,46.94913,4.457,-0.2045642,160.6787,1.672811,-39.84326,1.84863,81.05433,-0.1125647,5.49,57.95949,-0.6650844,3.205,2.536,114.1097,G
-39.89836,-22,-23.41378,119,2.263634,71.74367,4.302,-0.04285327,128.2207,1.253036,-30.45031,1.59771,115.7668,-0.449063,6.229,39.89946,1.308783,4.505,2.484,95.05807,G
-48.63521,-39,-32.94129,144,3.003398,84.54337,3.338,0.4482307,111.2421,1.632646,-26.65912,2.37425,122.0388,-0.5301468,4.798,80.77272,5.325806,3.446,2.397,89.71741,NG
-49.29893,-39,-28.53142,169,2.701456,59.20535,3.123,0.04695713,67.45289,2.12473,-26.34956,2.43992,93.37756,-0.8050804,4.731,72.8524,0.2934665,3.554,2.733,53.7126,NG
-35.24853,28,-34.61839,72,2.520671,30.64064,4.561,-0.4239927,82.10871,0.7204813,-29.81281,2.092853,55.38643,-1.374594,6.52,48.06227,-0.3106529,4.659,3.976,49.80847,NG
-35.43967,-38,-43.58875,119,2.137154,91.87352,5.029,-0.602412,143.8812,1.58348,-45.04751,1.796683,105.6437,-0.4203034,5.778,77.6522,-0.6371424,2.846,2.324,129.692,NG
-33.3722,49,-27.1064,196,2.098329,46.66671,2.109,-0.442151,99.37426,1.325567,-28.08468,1.592687,72.35643,0.4218209,2.983,37.27048,1.983326,2.109,2.109,60.60675,NG
-37.69105,-49,-33.88735,148,3.231992,62.56216,5.126,0.5724979,61.20724,1.62242,-19.68813,2.492334,82.01355,-0.9425241,7.131,75.76956,0.1150002,4.957,3.054,54.69354,NG
-26.62547,-22,-16.40905,92,1.979182,67.41268,2.956,-0.5322015,93.70448,2.029457,-32.54225,1.712745,68.27128,-0.02074716,5.557,38.78974,0.2419736,4.706,2.466,88.18668,NG
-44.61541,21,-29.82914,129,2.023557,68.54043,2.95,-0.6481223,144.1542,0.9367096,-49.43497,1.676615,104.5051,0.2681248,4.654,78.92325,1.7239,3.6,2.11,122.8896,NG
-20.91074,-32,-20.44565,123,2.549342,54.12498,4.918,-0.5655183,99.77366,2.234166,-24.75496,1.773182,65.45092,-0.4807968,5.978,50.22916,-0.5947052,3.399,3.514,73.20652,G
-27.62694,-52,-17.32108,162,2.059842,61.67401,4.918,0.4071233,69.89808,1.502741,-19.77031,2.405342,73.09839,-0.004128204,7.017,42.59476,0.5360804,5.005,3.089,58.72949,NG
-24.20093,-20,-10.27481,123,1.597124,64.21509,5.113,-0.5553796,72.58458,2.145008,-25.19827,1.696944,62.75372,0.5967644,6.391,24.49023,0.1033077,3.835,2.129,70.86067,G
-20.59505,19,-17.50627,174,2.652605,24.42799,19.869,-0.3082539,179.4414,0.8533537,-23.5366,2.093608,78.98463,-0.6216072,26.584,47.61482,61.28039,17.662,12.41,93.50001,NG
-49.04478,-37,-45.71269,122,2.013693,91.92722,4.711,-0.07972612,196.0192,1.40933,-58.05735,1.863718,139.432,-0.4388231,5.574,81.12268,0.5636365,2.98,2.905,149.5822,G
-34.47161,-34,-27.75819,139,2.590784,49.09348,4.2,0.2134207,103.6731,1.38625,-28.64075,1.652115,82.92258,-0.9538001,5.344,62.43942,8.735511,3.304,2.429,73.4255,G
